section,Type,Start_X,Start_Y,End_X,End_Y,Center_X,Center_Y,Radius,Start_Angle (deg),End_Angle (deg),length,Direction
1,ARC,0,105.3216912,5.427707249,112.8183345,4.798939002,107.5603728,5.29542359,205.0088218,83.1807228,11.25966685,Clockwise
2,ARC,5.427707249,112.8183345,28.85473492,123.5339792,8.363313545,137.3668158,24.72338403,263.1807228,325.978485,27.09751404,Counterclockwise
3,ARC,28.85473492,123.5339792,40.30608047,124.6703214,35.0519206,119.350538,7.477050942,145.978485,45.35558171,13.13120408,Clockwise
4,ARC,40.30608047,124.6703214,53.03627642,129.8669174,45.56024033,129.9901047,7.477050942,225.3555817,359.0559875,17.44779028,Counterclockwise
5,ARC,53.03627642,129.8669174,65.76647238,135.0635135,60.51231252,129.7437302,7.477050942,179.0559875,45.35558171,17.44779028,Clockwise
6,ARC,65.76647238,135.0635135,78.49666834,140.2601096,71.02063224,140.3832969,7.477050942,225.3555817,359.0559875,17.44779028,Counterclockwise
7,ARC,78.49666834,140.2601096,77.40905808,144.268436,71.02063224,140.3832969,7.477050942,359.0559875,31.30599327,4.208598579,Counterclockwise
8,ARC,77.40905808,144.268436,84.63624689,150.0771257,81.40418137,146.6980815,4.675915645,211.3059933,46.27359417,13.46831448,Clockwise
9,ARC,84.63624689,150.0771257,99.6027271,147.2328602,94.31221899,160.1931141,13.99848771,226.2735942,292.2057846,16.10853303,Counterclockwise
10,LINE,99.6027271,147.2328602,150.3996,167.9686628,,,,,,54.86616264,
11,ARC,150.3996,167.9686628,159.2018648,180.5971401,145.0467743,181.0815771,14.16337759,292.2057846,358.0399017,16.27403393,Counterclockwise
12,ARC,159.2018648,180.5971401,167.3917797,183.19885,163.7596192,180.4411577,4.560422827,178.0399017,37.20733029,11.20948313,Clockwise
13,ARC,167.3917797,183.19885,180.9937254,182.1004558,174.6842073,188.7355745,9.156135567,217.2073303,313.5591245,15.39747076,Counterclockwise
14,ARC,180.9937254,182.1004558,187.1670238,184.6204593,187.3032434,175.4653371,9.156135567,133.5591245,90.85244467,6.824728689,Clockwise
15,ARC,187.1670238,184.6204593,195.4020899,187.9820974,186.9853093,196.8332233,12.21411582,270.8524447,313.5591245,9.104062087,Counterclockwise
16,ARC,195.4020899,187.9820974,203.8738555,191.4403587,204.060793,178.8765647,12.56518465,133.5591245,90.85244467,9.365739024,Clockwise
17,ARC,203.8738555,191.4403587,211.7069207,194.3255512,203.6866173,204.0243623,12.58539647,270.8524447,309.5885963,8.508651596,Counterclockwise
18,ARC,211.7069207,194.3255512,221.9837615,198.8330074,224.7538768,178.5480979,20.47317988,129.5885963,97.77623334,11.36733341,Clockwise
19,ARC,221.9837615,198.8330074,227.9132264,200.6746745,219.4330034,217.5116154,18.85196972,277.7762333,296.7329185,6.237298076,Counterclockwise
20,LINE,227.9132264,200.6746745,291.8543212,232.8797374,,,,,,71.59350299,
21,ARC,291.8543212,232.8797374,314.4139735,236.5639646,308.9916261,198.8547133,38.09710599,116.7329185,81.81732498,23.21607419,Clockwise
22,ARC,314.4139735,236.5639646,320.5753769,240.1930617,315.2282062,242.2264758,5.720752401,261.817325,339.1792667,7.724277727,Counterclockwise
23,ARC,320.5753769,240.1930617,329.5129868,242.7275361,325.9871248,238.1350903,5.789841198,159.1792667,52.48465594,10.78168162,Clockwise
24,ARC,329.5129868,242.7275361,338.7713111,246.5068787,333.0388488,247.3199819,5.789841198,232.4846559,351.9269132,12.06985415,Counterclockwise
25,ARC,338.7713111,246.5068787,348.0296355,250.2862213,344.5037735,245.6937755,5.789841198,171.9269132,52.48465594,12.06985415,Clockwise
26,ARC,348.0296355,250.2862213,357.2879598,254.0655639,351.5554975,254.8786671,5.789841198,232.4846559,351.9269132,12.06985415,Counterclockwise
27,ARC,357.2879598,254.0655639,366.4894342,257.8879991,363.0204221,253.2524608,5.789841198,171.9269132,53.19059951,11.99851729,Clockwise
28,ARC,366.4894342,257.8879991,385.1487148,252.2540032,383.5552682,280.6925688,28.48317195,233.1905995,273.2069974,19.8931571,Counterclockwise
29,ARC,385.1487148,252.2540032,392.9716853,248.078179,385.6261685,243.7327917,8.534577168,93.20699743,30.60728502,9.324632301,Clockwise
30,ARC,392.9716853,248.078179,399.3256271,242.3931398,405.124152,255.2672135,14.11965529,210.607285,245.753043,8.661126388,Counterclockwise
31,ARC,399.3256271,242.3931398,404.2201042,235.4835834,395.8939065,234.7739219,8.356386058,65.75304301,4.871680904,8.879330551,Clockwise
32,ARC,404.2201042,235.4835834,407.472518,227.6129173,418.2668564,236.6808214,14.09768155,184.8716809,220.0323128,8.651307229,Counterclockwise
33,ARC,407.472518,227.6129173,408.8833807,219.2642898,401.0744653,222.2381618,8.356020271,40.03231279,339.1516476,8.878840231,Clockwise
34,ARC,408.8833807,219.2642898,408.3979009,210.7619645,422.0579822,214.2470016,14.09763472,159.1516476,194.3123112,8.651286291,Counterclockwise
35,ARC,408.3979009,210.7619645,406.12636,202.7491069,400.3616896,208.7117209,8.293623512,14.31231123,314.0330021,8.725492513,Clockwise
36,ARC,406.12636,202.7491069,395.9359745,190.1250206,452.0271438,155.2722106,66.03739571,134.0330021,148.1448347,16.26487465,Counterclockwise
37,ARC,395.9359745,190.1250206,386.6105501,182.5421192,380.2800433,199.8529903,18.43208008,328.1448347,290.0872359,12.24314801,Clockwise
38,ARC,386.6105501,182.5421192,352.3889101,164.8443086,438.9742446,39.35276476,152.4635947,110.0872359,124.6044907,38.6302947,Counterclockwise
39,LINE,352.3889101,164.8443086,335.307021,153.0583265,,,,,,20.75332042,
40,ARC,335.307021,153.0583265,328.2344838,141.2183576,344.7347193,139.3943912,16.60074172,124.6044907,173.692029,14.22250562,Counterclockwise
